year,unitid,inst_name,state_abbr,years_after_entry,earnings_mean,earnings_sd,earnings_greater_than_25k_pct,earnings_med,earnings_pct10,earnings_pct25,earnings_pct75,earnings_pct90,earnings_lowinc_mean,earnings_midinc_mean,earnings_highinc_mean,earnings_dep_lowinc_mean,earnings_dep_mean,earnings_ind_mean,earnings_female_mean,earnings_male_mean
"2014","145336","Governors State University","IL","8","41700","26700","","38500","","24100","55100","","","","","","","","",""
"2014","145336","Governors State University","IL","6","40300","25600","","37300","","23100","51600","","34900","43500","47200","","37900","41200","37100","46800"
"2014","145372","Greenville College","IL","10","39900","25900","","36800","","21800","51100","","35600","40900","41400","","37700","45200","34300","45800"
"2014","145372","Greenville College","IL","8","37600","25600","","34900","","21200","46900","","","","","","","","",""
"2014","145372","Greenville College","IL","6","33200","22300","","30400","","18400","41900","","25700","34200","36500","","30000","40000","30200","36500"
"2014","145460","Harrington College of Design","IL","10","41200","32500","","36300","","18900","55900","","33500","42700","46800","","38800","43800","41000","42000"
"2014","145460","Harrington College of Design","IL","8","37900","28800","","33300","","18500","50100","","","","","","","","",""
"2014","145460","Harrington College of Design","IL","6","34100","25500","","29900","","15600","45100","","28000","37000","37100","","29300","39700","34000","34400"
"2014","145497","Hebrew Theological College","IL","10","26700","22100","","21100","","10200","36900","","Suppressed data","27300","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","145497","Hebrew Theological College","IL","8","30900","22400","","26400","","15200","40800","","","","","","","","",""
"2014","145497","Hebrew Theological College","IL","6","25800","17600","","21300","","12700","36500","","Suppressed data","24100","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","145628","Illinois College of Optometry","IL","10","92800","41000","","96100","","61900","116300","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","Suppressed data","Suppressed data"
"2014","145628","Illinois College of Optometry","IL","8","98200","41900","","99500","","71100","120000","","","","","","","","",""
"2014","145628","Illinois College of Optometry","IL","6","96300","48500","","96000","","72500","117100","","Suppressed data","Suppressed data","Suppressed data","","Suppressed data","Suppressed data","92400","103100"
"2014","145691","Illinois College","IL","10","49100","38100","","42800","","28800","58600","","42200","53100","49200","","Suppressed data","Suppressed data","42900","55700"
"2014","145691","Illinois College","IL","8","40400","23400","","36800","","25100","50400","","","","","","","","",""
"2014","145691","Illinois College","IL","6","34300","16900","","32800","","22800","44900","","30700","34500","35400","","Suppressed data","Suppressed data","30700","37100"
"2014","145725","Illinois Institute of Technology","IL","10","78000","64100","","69100","","44000","91900","","93800","69300","72400","","68900","99200","69500","81600"
"2014","145725","Illinois Institute of Technology","IL","8","71600","47400","","63300","","45600","85900","","","","","","","","",""
"2014","145725","Illinois Institute of Technology","IL","6","60400","37300","","55800","","39000","74800","","67100","58000","56200","","53000","80000","60400","60400"
"2014","145813","Illinois State University","IL","10","51600","31600","","47100","","33600","64700","","47000","50800","53600","","51900","49700","46000","58700"
"2014","145813","Illinois State University","IL","8","46700","26800","","43200","","30700","58500","","","","","","","","",""
"2014","145813","Illinois State University","IL","6","41600","21400","","39600","","28800","52400","","40700","40200","42500","","41500","42800","38700","45100"
"2014","145646","Illinois Wesleyan University","IL","10","67300","56700","","59100","","40700","84000","","Suppressed data","Suppressed data","66600","","Suppressed data","Suppressed data","61500","74600"
"2014","145646","Illinois Wesleyan University","IL","8","54600","37300","","50200","","34100","67400","","","","","","","","",""
"2014","145646","Illinois Wesleyan University","IL","6","43300","24700","","41600","","26000","58200","","35300","42600","44700","","Suppressed data","Suppressed data","42000","45100"
"2014","146010","International Academy of Design and Technology-Chicago","IL","10","31700","24700","","27400","","13800","43200","","27100","34800","38400","","31700","31600","31700","31600"
"2014","146010","International Academy of Design and Technology-Chicago","IL","8","28100","20700","","24900","","12800","39000","","","","","","","","",""
"2014","146010","International Academy of Design and Technology-Chicago","IL","6","26000","19400","","22500","","12700","34700","","22800","29500","31000","","25100","27100","25100","26900"
"2014","260974","ITT Technical Institute-Mount Prospect","IL","10","44000","32700","","39400","","22500","58100","","38400","48100","50600","","42200","45100","34100","46600"
"2014","260974","ITT Technical Institute-Mount Prospect","IL","8","37900","27000","","33500","","18400","51000","","","","","","","","",""
"2014","260974","ITT Technical Institute-Mount Prospect","IL","6","34800","25200","","31400","","16800","48000","","28700","40900","44700","","32600","35600","27700","38300"
"2014","434557","ITT Technical Institute-Oak Brook","IL","10","44000","32700","","39400","","22500","58100","","38400","48100","50600","","42200","45100","34100","46600"
"2014","434557","ITT Technical Institute-Oak Brook","IL","8","37900","27000","","33500","","18400","51000","","","","","","","","",""
"2014","434557","ITT Technical Institute-Oak Brook","IL","6","34800","25200","","31400","","16800","48000","","28700","40900","44700","","32600","35600","27700","38300"
"2014","414586","ITT Technical Institute-Orland Park","IL","10","44000","32700","","39400","","22500","58100","","38400","48100","50600","","42200","45100","34100","46600"
"2014","414586","ITT Technical Institute-Orland Park","IL","8","37900","27000","","33500","","18400","51000","","","","","","","","",""
"2014","414586","ITT Technical Institute-Orland Park","IL","6","34800","25200","","31400","","16800","48000","","28700","40900","44700","","32600","35600","27700","38300"
"2014","479655","ITT Technical Institute-Springfield","IL","10","44000","32700","","39400","","22500","58100","","38400","48100","50600","","42200","45100","34100","46600"
"2014","479655","ITT Technical Institute-Springfield","IL","8","37900","27000","","33500","","18400","51000","","","","","","","","",""
"2014","479655","ITT Technical Institute-Springfield","IL","6","34800","25200","","31400","","16800","48000","","28700","40900","44700","","32600","35600","27700","38300"
"2014","146339","Judson University","IL","10","47200","32300","","42800","","25000","61100","","42400","49600","47900","","41100","53500","40900","55600"
"2014","146339","Judson University","IL","8","43100","29700","","38900","","25000","54300","","","","","","","","",""
"2014","146339","Judson University","IL","6","38000","24800","","35700","","22000","48100","","33800","37300","40700","","33600","44000","34600","42600"
"2014","146393","Kendall College","IL","10","42200","30500","","39300","","24600","51800","","37300","40800","47500","","41200","43000","37500","48100"
